,Experiment,Level,algorithm,SSM
2,Exp_4_500,2,Natural,0.3805634454510609
0,Exp_15_500,0,Natural,0.7656368866454726
1,Exp_15_500,1,Natural,0.0029264973281175
2,Exp_15_500,2,Natural,0.0010161626687349
0,Exp_21_500,0,Natural,0.7494937478074732
1,Exp_21_500,1,Natural,0.3523964970975909
2,Exp_21_500,2,Natural,0.2773849133187575
0,Exp_22_500,0,Natural,0.6938218953868508
1,Exp_22_500,1,Natural,0.0
2,Exp_22_500,2,Natural,0.2596413641406185
0,Exp_8_500,0,Natural,0.8149429759295961
1,Exp_8_500,1,Natural,4.597257992852397e-05
2,Exp_8_500,2,Natural,0.1790219134592323
0,Exp_23_500,0,Natural,0.7325822825698242
1,Exp_23_500,1,Natural,0.5614290742622818
2,Exp_23_500,2,Natural,0.2433947088053338
0,Exp_30_500,0,Natural,0.8071605874542782
1,Exp_30_500,1,Natural,5.653311151921079e-07
2,Exp_30_500,2,Natural,0.0147437939262733
0,Exp_14_500,0,Natural,0.8517729865633069
1,Exp_14_500,1,Natural,0.1389708271517927
2,Exp_14_500,2,Natural,6.412589120665365e-05
0,Exp_34_300,0,DBSCAN,0.7268235489865211
1,Exp_34_300,1,DBSCAN,0.0354350514469193
2,Exp_34_300,2,DBSCAN,0.0010001410659934
0,Exp_33_300,0,DBSCAN,0.8788640525056086
1,Exp_33_300,1,DBSCAN,0.0231850973002201
2,Exp_33_300,2,DBSCAN,0.0334524760539944
0,Exp_31_300,0,DBSCAN,0.7870126929281859
1,Exp_31_300,1,DBSCAN,0.0423664118812167
2,Exp_31_300,2,DBSCAN,0.0035106342642093
0,Exp_32_300,0,DBSCAN,0.776657410528642
1,Exp_32_300,1,DBSCAN,0.0456624486524098
2,Exp_32_300,2,DBSCAN,0.0009335405682379
0,Exp_20_300,0,DBSCAN,0.6737189664521479
1,Exp_20_300,1,DBSCAN,0.1264026159252682
2,Exp_20_300,2,DBSCAN,0.2388002692464552
0,Exp_6_300,0,DBSCAN,0.8621212925424817
1,Exp_6_300,1,DBSCAN,0.4804307511591253
2,Exp_6_300,2,DBSCAN,0.0281062836276955
0,Exp_26_300,0,DBSCAN,0.7625348211491817
1,Exp_26_300,1,DBSCAN,0.0472542300001113
2,Exp_26_300,2,DBSCAN,0.0012972465419225
0,Exp_19_300,0,DBSCAN,0.7902504949345588
1,Exp_19_300,1,DBSCAN,0.0042732638542619
2,Exp_19_300,2,DBSCAN,0.0003965059448747
